"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022853","active monoatomic ion transmembrane transporter activity","12/544","114/12387",0.00426585158957152,0.00426585158957152,0.0330525693203614,"42245/32249/48971/35111/40495/43787/45248/49297/44307/36747/40679/31235",12
"GO:0015276","ligand-gated monoatomic ion channel activity","14/544","144/12387",0.0043700948611715,0.0043700948611715,0.0330525693203614,"39730/41426/36694/37614/42920/34826/39984/318623/32468/40665/42476/44484/42350/35449",14
"GO:0022834","ligand-gated channel activity","14/544","144/12387",0.0043700948611715,0.0043700948611715,0.0330525693203614,"39730/41426/36694/37614/42920/34826/39984/318623/32468/40665/42476/44484/42350/35449",14
"GO:0004674","protein serine/threonine kinase activity","16/544","177/12387",0.0049315959117651,0.0049315959117651,0.0366212289715762,"43794/48311/31598/44039/41797/40384/38890/38070/38654/3885567/38433/32097/39241/42289/41772/32120",16
"GO:0016758","hexosyltransferase activity","12/544","117/12387",0.00525964411077494,0.00525964411077494,0.0383598104319676,"32252/34260/251900/33512/31358/246627/37516/36614/34282/326151/5740612/36279",12
"GO:0042802","identical protein binding","14/544","148/12387",0.00557077954249988,0.00557077954249988,0.0399162042934433,"35007/33196/35425/2768716/40833/41625/35540/41825/39173/33432/39441/43767/31802/33114",14
"GO:0099106","ion channel regulator activity","5/544","27/12387",0.00580127476817017,0.00580127476817017,0.0407765915688116,"8674114/33028/2768718/31955/5740497",5
"GO:0016301","kinase activity","27/544","366/12387",0.0058905359727626,0.0058905359727626,0.0407765915688116,"35118/43794/48311/3346209/31826/31598/40443/43026/44039/41797/40384/3885565/38890/38070/38654/32256/34038/317907/39555/3885567/34132/38433/32097/39241/42289/41772/32120",27
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","10/544","91/12387",0.00647274651262193,0.00647274651262193,0.0440600990683738,"35974/43660/43769/31430/35540/32994/43767/31802/38065/41069",10
"GO:0008194","UDP-glycosyltransferase activity","11/544","106/12387",0.00677109820507059,0.00677109820507059,0.044632661897429,"32252/38288/251900/33512/31358/246627/37516/36614/34282/326151/36279",11
"GO:0005102","signaling receptor binding","21/544","266/12387",0.00684790148712401,0.00684790148712401,0.044632661897429,"42646/43565/45845/37007/36104/41770/33196/39972/35922/31712/33619/35085/44885/38978/34192/35540/32813/33432/35332/31220/36937",21
"GO:0004970","ionotropic glutamate receptor activity","4/544","18/12387",0.00688470313031218,0.00688470313031218,0.044632661897429,"318623/40665/42476/44484",4
"GO:0001216","DNA-binding transcription activator activity","10/544","93/12387",0.00752958279036188,0.00752958279036188,0.0480506270174409,"35974/43660/43769/31430/35540/32994/43767/31802/38065/41069",10
